mean_velocity,max_velocity,min_velocity,std_velocity,range_velocity,total_energy,rms_velocity,zero_crossing_rate,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-5.09887476867477e-14,0.0,-1.019774953734954e-09,7.21089785070126e-12,1.019774953734954e-09,1.0399409562651275e-18,7.210897850701837e-12,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.236340861284443e-12,4.707866424617511e-09,-4.603228485796866e-09,7.674878881769971e-10,9.311094910414378e-09,1.178026415671923e-14,7.674719589900086e-10,3461,1
-8.449076732053568e-13,2.606678939441181e-09,-2.732227161898778e-09,2.969801793086881e-10,5.338906101339959e-09,1.7638706181967895e-15,2.9697395661882456e-10,56,0
5.280302209218852e-13,1.155673180385183e-09,-1.153796336541937e-09,4.347688644111965e-11,2.3094695169271198e-09,3.780847917089361e-17,4.3479005951662237e-11,46,0
-2.866737784065105e-13,1.169939916224505e-09,-1.3377486809208321e-09,6.029579392216316e-11,2.507688597145337e-09,7.27096633484559e-17,6.029496801079502e-11,78,0
1.0527329869231797e-12,1.139624615544966e-09,-1.142417933083303e-09,5.719412915162616e-11,2.282042548628269e-09,6.544226195469233e-17,5.720238716814724e-11,90,0
4.08595099611296e-12,1.328930557037867e-09,-1.369757913522414e-09,1.124923755865914e-10,2.698688470560281e-09,2.534119366785565e-16,1.1256374564631289e-10,154,0
1.6336300557044724e-12,1.785218990698332e-09,-1.649947521981402e-09,1.297299512654896e-10,3.435166512679734e-09,3.36633750189854e-16,1.2973699360434056e-10,140,0
1.3170849951001485e-12,1.780125874517665e-09,-1.735943722028794e-09,1.1093762647719123e-10,3.516069596546459e-09,2.461655264686823e-16,1.1094267133720061e-10,94,0
-4.50000887025346e-13,1.477844177044999e-09,-1.616180582198668e-09,1.0189214381485076e-10,3.094024759243667e-09,2.0763384743078027e-16,1.0189059020115162e-10,80,0
-3.0198471309643744e-12,1.7058805006131061e-09,-1.810733521183056e-09,1.1699800553553946e-10,3.5166140217961624e-09,2.739393669863891e-16,1.1703404782079211e-10,24,0
-6.12787397002949e-12,4.1762275897689e-09,-4.2414727815412015e-09,3.648373222544778e-10,8.417700371310101e-09,2.6627433447127167e-15,3.64879661307171e-10,140,0
-1.9588876209447292e-11,2.821278937481497e-09,-2.898881471873744e-09,3.9305401030495676e-10,5.7201604093552414e-09,3.0973490903050942e-15,3.9353202476450975e-10,164,0
-1.6344725440679056e-12,1.671826622533805e-09,-1.667185809034104e-09,1.3779392003847572e-10,3.3390124315679088e-09,3.7977773083724396e-16,1.3780016887457793e-10,54,0
-2.874465639409125e-12,1.00082658919559e-09,-1.202540483017388e-09,5.621163065836701e-11,2.2033670722129778e-09,6.335703973225902e-17,5.628367424584993e-11,82,0
-2.2561529109334874e-12,1.202635867692738e-09,-1.290418531381549e-09,6.953632109741396e-11,2.493054399074287e-09,9.680296825447623e-17,6.957117515698445e-11,110,0
-2.6187663188918185e-12,1.19118891305879e-09,-1.235430802078739e-09,7.597651464447457e-11,2.426619715137529e-09,1.1558000186027248e-16,7.6019734891761e-11,114,0
-2.549022355400131e-12,1.195554691855792e-09,-1.249280943090929e-09,6.074264163667042e-11,2.444835634946721e-09,7.391963089086696e-17,6.079458482910585e-11,80,0
-2.828399143876493e-12,1.248808327397665e-09,-1.275171074770297e-09,7.962994636689938e-11,2.523979402167962e-09,1.2697222307386341e-16,7.967817237922298e-11,112,0
-5.332880764915484e-12,1.151260290829841e-09,-1.420091094858617e-09,8.153666134548214e-11,2.5713513856884584e-09,1.3352668698532417e-16,8.170883886866958e-11,136,0
-5.458448198298638e-12,1.181983802667478e-09,-1.316664442804694e-09,8.606807835864342e-11,2.4986482454721723e-09,1.4874276766754355e-16,8.623884497937794e-11,158,0
-5.4315177120559455e-12,1.106749871637098e-09,-1.350177715150028e-09,8.899667723550784e-11,2.4569275867871258e-09,1.5899027846377143e-16,8.916004667556299e-11,164,0
-3.0158118117272615e-12,3.339954407112025e-09,-3.131929985995601e-09,3.2609341490188673e-10,6.471884393107626e-09,2.1268138703492355e-15,3.2609920809082283e-10,158,0
-7.187359263963293e-12,1.710206389632925e-09,-1.776055749785063e-09,1.8551336760663074e-10,3.4862621394179882e-09,6.893029386693812e-16,1.8564791120147045e-10,126,0
-8.591177692238539e-13,1.540721921483041e-09,-1.545788055547052e-09,1.4039587714672193e-10,3.086509977030093e-09,3.9421509706045994e-16,1.4039499582614401e-10,38,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3.368311460119064e-13,1.096687381307119e-09,-1.206645629964705e-09,4.8587088230351845e-11,2.3033330112718242e-09,4.721401125336131e-17,4.858704109809596e-11,18,0
-3.58656775215213e-12,1.921241262692114e-09,-1.919821970974602e-09,1.7566203271368125e-10,3.8410632336667156e-09,6.173694069569455e-16,1.7569425246105027e-10,24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.394888944070747e-12,1.599276221360844e-09,-1.903120590223387e-09,1.6975436759746067e-10,3.502396811584231e-09,5.764167996835775e-16,1.6976701677351487e-10,36,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2.199248608624351e-12,1.616125754643293e-09,-1.4753851556862702e-09,1.4792984439251252e-10,3.091510910329563e-09,4.377396278897095e-16,1.4794249353882568e-10,34,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-5.316102222286791e-13,0.0,-1.123480123323668e-09,2.3784466531062274e-11,1.123480123323668e-09,1.1319103451060676e-17,2.378981236901699e-11,4,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.8028831532593752e-12,1.365904270966753e-09,-1.495226298122528e-09,8.423192016003172e-11,2.861130569089281e-09,1.4195824021382653e-16,8.424910688364195e-11,12,0
-3.1236470203270703e-12,1.540079435759019e-09,-1.6290039825540471e-09,1.0608942066928134e-10,3.169083418313066e-09,2.2528319200781415e-16,1.0613274518446561e-10,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7.197212572072179e-13,1.7803056068212211e-09,-1.89808413608831e-09,2.2008972174872134e-10,3.678389742909531e-09,9.687516328766183e-16,2.200853962529793e-10,34,0
1.3388989745795393e-12,2.1099145726760204e-09,-2.315895976826867e-09,1.720050608184387e-10,4.425810549502887e-09,5.917210862115407e-16,1.7200597172940548e-10,26,0
2.2275317254497484e-12,1.6811160895843521e-09,-1.802761176848826e-09,1.2550258056596157e-10,3.4838772664331784e-09,3.1510144162853734e-16,1.255192100095713e-10,20,0
1.066715297446494e-13,1.067515288301071e-09,0.0,1.0666889278988481e-11,1.067515288301071e-09,2.2757643315834594e-18,1.0667155974259164e-11,4,0
4.0479965539557337e-13,1.023083817174555e-09,-1.010456906351331e-09,2.2619562068826553e-11,2.033540723525886e-09,1.0235657374352642e-17,2.262261852035772e-11,4,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.3866958093676554e-12,5.9690045919778264e-09,-6.144451956340579e-09,1.0273251815223894e-09,1.2113456548318404e-08,2.1106923633287244e-14,1.027300433984315e-09,4835,1
-3.4590266778849004e-12,2.920251284437949e-09,-2.9840811291987504e-09,3.505568738246698e-10,5.904332413636699e-09,2.457918842903901e-15,3.5056517531722265e-10,76,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4.497655936747935e-15,1.082268333848495e-09,-1.058798841800152e-09,2.922873069353641e-11,2.141067175648647e-09,1.7085520044974387e-17,2.922800031217872e-11,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5.801576709970944e-12,6.853803451992513e-09,-6.155704795405272e-09,1.2965810775584872e-09,1.3009508247397786e-08,3.362144185701763e-14,1.2965616425187356e-09,6006,1
1.2870635431970018e-13,1.825430638411378e-09,-1.920726717513128e-09,1.371323962768598e-10,3.746157355924506e-09,3.760874081848359e-16,1.3712902832457391e-10,328,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3.5432051210758295e-12,1.6517713198451171e-09,-1.557292870988247e-09,1.1494449667169723e-10,3.209064190833364e-09,2.6448262011561115e-16,1.1499622170219575e-10,22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-3.297782989262169e-12,1.6318297572495501e-09,-1.544308373055073e-09,1.070825686798335e-10,3.1761381303046232e-09,2.2953957107737653e-16,1.0713066112868354e-10,24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.0863064296644377e-12,1.362038786493307e-09,-1.288687130950314e-09,7.529394763632751e-11,2.6507259174436207e-09,1.1346495532505738e-16,7.532096498487569e-11,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.020925691840433e-12,1.288274482386346e-09,-1.229925916768315e-09,4.841415343006703e-11,2.518200399154661e-09,4.6897106902106517e-17,4.84237064370885e-11,18,0
3.7526201233040224e-13,1.179938475483681e-09,-1.0405421595164361e-09,5.353660279660743e-11,2.2204806350001173e-09,5.732330704368132e-17,5.353657957120595e-11,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-4.222645962226685e-12,1.884532577050801e-09,-1.782873135157087e-09,1.5804321657072415e-10,3.667405712207888e-09,4.99884803200789e-16,1.5809566774595516e-10,24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.0374586945757708e-12,1.4066593527504421e-09,-1.353575121924282e-09,7.394952085655039e-11,2.760234474674724e-09,1.0938669057751153e-16,7.395494931967418e-11,18,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.2043851887221805e-12,1.284811831038985e-09,-1.224482869942249e-09,5.820398181432824e-11,2.509294700981234e-09,6.777969315102104e-17,5.821498653741192e-11,20,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-3.236871060443781e-13,1.025027498029293e-09,-1.14789524374414e-09,2.366133349600177e-11,2.1729227417734332e-09,1.1198709664331636e-17,2.366295592728393e-11,14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.4404549755205386e-12,1.384159434624248e-09,-1.358212364609054e-09,7.457403981223362e-11,2.742371799233302e-09,1.1126168520163928e-16,7.458608623652245e-11,14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.040613559530525e-12,1.416454245783467e-09,-1.526079849307961e-09,9.356349983201342e-11,2.942534095091428e-09,1.751570979617371e-16,9.358341144715154e-11,22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.2938090476231738e-13,1.3188842755408841e-09,-1.0941289536520211e-09,3.0589563516239e-11,2.4130132291929052e-09,1.8713826989251148e-17,3.058907238643495e-11,26,0
5.0932245310967445e-14,1.018644906219349e-09,0.0,7.202907208087597e-12,1.018644906219349e-09,1.0376374449666261e-18,7.202907208088364e-12,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-3.908866276176795e-12,1.873494284696661e-09,-1.746465041428083e-09,1.4977475616897627e-10,3.619959326124744e-09,4.489327039433601e-16,1.498220117244726e-10,26,0
-3.93784144574935e-12,1.7615636029232341e-09,-1.884977958471491e-09,1.625631648936653e-10,3.646541561394725e-09,5.288193567275973e-16,1.6260678902302901e-10,22,0
3.752267995814393e-13,1.130921117822807e-09,-1.126701791420359e-09,5.4126290862157313e-11,2.257622909243166e-09,1.590000388833801e-17,5.4122605512629224e-11,6,0
-1.807466339460314e-12,5.4910119536512545e-09,-4.475550594895776e-09,7.895478953324913e-10,9.96656254854703e-09,1.2467159533287076e-14,7.895302253013204e-10,3393,1
1.05584980071099e-12,2.421632953771581e-09,-2.841079148726435e-09,2.9730794952229864e-10,5.262712102498016e-09,1.7677742413418662e-15,2.9730239162693144e-10,870,0
6.475870046701862e-13,1.645010388273075e-09,-1.505917596773973e-09,1.0899175558039169e-10,3.150927985047048e-09,2.375805638656972e-16,1.0899095463975375e-10,30,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6.916220716989302e-13,1.191219068351175e-09,-1.281740643138714e-09,7.023794705732685e-11,2.472959711489889e-09,9.867201758910378e-17,7.023959623641916e-11,22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-5.08638315505373e-14,0.0,-1.017276631010746e-09,7.193232041305024e-12,1.017276631010746e-09,1.0348517440005734e-18,7.193232041303038e-12,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1.0540754754643344e-13,1.063188501906117e-09,0.0,1.0540885175571127e-11,1.063188501906117e-09,2.2223163104525827e-18,1.0541148681364339e-11,4,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-3.6112610662612466e-13,1.268219752580131e-09,-1.178597864702454e-09,3.184820781479259e-11,2.446817617282585e-09,2.028776075323938e-17,3.184945898538889e-11,22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5.838042490423658e-13,2.070746914011828e-09,-2.271984579603266e-09,1.575793690311308e-10,4.342731493615094e-09,4.966071361760744e-16,1.5757651096785878e-10,18,0
-2.956628760750696e-14,1.415691326852504e-09,-1.480939003110936e-09,7.016543347554216e-11,2.89663032996344e-09,9.845885539142826e-17,7.0163685547236e-11,12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4.661553294055571e-12,1.835029582172148e-09,-1.8170263294817702e-09,1.4342350233326965e-10,3.6520559116539184e-09,4.118200517120902e-16,1.4349565354255336e-10,26,0
-1.2483761450123293e-12,1.3979628551073401e-09,-1.580505626507389e-09,9.497466739598116e-11,2.978468481614729e-09,1.8042589761187858e-16,9.498049736969126e-11,40,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3.813257350673263e-12,1.474830352008347e-09,-1.596500761569489e-09,1.3035486458405578e-10,3.071331113577836e-09,3.40121640656423e-16,1.3040736954950494e-10,12,0
8.171799323043609e-13,1.320978650432836e-09,-1.138898140386671e-09,5.0919582357338084e-11,2.459876790819507e-09,5.1866840205895785e-17,5.092486632574296e-11,14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.661779688290925e-11,1.926139285631996e-08,-1.9094939346050123e-08,2.760694808555787e-09,3.8356332202370084e-08,1.5243526522616806e-13,2.760754110982795e-09,6971,1
-1.3465293789680968e-12,1.921394380294782e-09,-1.679048647982692e-09,1.2752395207443692e-10,3.6004430282774742e-09,3.2526716752258916e-16,1.2752787293815207e-10,284,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-6.292992926922761e-13,1.427909406938345e-09,-1.216581476717987e-09,6.782568876693195e-11,2.644490883656332e-09,9.200980116209785e-17,6.782691249131787e-11,16,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-1.0435019767283531e-13,0.0,-1.0642493836962961e-09,1.0436821375851353e-11,1.0642493836962961e-09,2.1786536606637478e-18,1.0437082112984807e-11,4,0
-4.922029457447573e-14,1.081800124043835e-09,-1.031764391335253e-09,1.6340451820666617e-11,2.113564515379088e-09,5.339988756454836e-18,1.63401174360144e-11,8,0
3.8357105048578544e-15,1.122600768180719e-09,-1.065360761423395e-09,1.5084223921969875e-11,2.1879615296041138e-09,4.5504489870050366e-18,1.5083847299354756e-11,6,0
-2.536185428584426e-13,1.116466916597296e-09,-1.143944456476168e-09,4.0479778040444485e-11,2.260411373073464e-09,3.2771896438956066e-17,4.0479560545388874e-11,28,0
-6.780986158621727e-13,0.0,-1.086381797835099e-09,2.6595530216524172e-11,1.086381797835099e-09,1.4154933582390217e-17,2.660350877458669e-11,20,0
-7.437948065583254e-13,1.257555428864039e-09,-1.269708628101101e-09,4.722599571602655e-11,2.52726405696514e-09,4.4614727747001605e-17,4.7230672103518495e-11,48,0
9.546269722422009e-13,1.755938905522651e-09,-1.7495313841512431e-09,1.5041376196565615e-10,3.505470289673894e-09,4.524815977266838e-16,1.504130309724998e-10,70,0
-1.2479713182395215e-12,1.349273524866871e-09,-1.269893695116915e-09,5.758914263153811e-11,2.619167219983786e-09,6.635801911957455e-17,5.7601223563208514e-11,58,0
-2.2969128283518855e-12,1.235150259787903e-09,-1.404589073246761e-09,6.95367690772296e-11,2.6397393330346642e-09,9.680792588255016e-17,6.957295662919255e-11,100,0
-1.812976470794654e-12,1.146437620842087e-09,-1.248141247300494e-09,6.007284146003394e-11,2.394578868142581e-09,7.223705454900453e-17,6.009869156188199e-11,78,0
-1.9427735391915995e-12,1.196547207070536e-09,-1.337106815250232e-09,5.729907889140893e-11,2.533654022320768e-09,6.573589303215151e-17,5.733057344565442e-11,82,0
-1.3231090821701218e-12,1.178784388640863e-09,-1.212920686977969e-09,4.447326943250261e-11,2.391705075618832e-09,3.959046836148144e-17,4.4491835409140765e-11,52,0
-5.1487745213425255e-12,2.3875809853166082e-09,-2.322907664980144e-09,2.1447861233525345e-10,4.710488650296753e-09,9.20505699491729e-16,2.1453504369819504e-10,118,0
-3.301475260269666e-12,1.914405091851943e-09,-1.855967758566796e-09,1.2614996065280892e-10,3.770372850418739e-09,3.1847833241926754e-16,1.261900020642023e-10,88,0
-1.0164253432800026e-12,2.504723555218622e-09,-2.3357764099059722e-09,2.437147122897454e-10,4.840499965124594e-09,1.1878984852784512e-15,2.437107389179282e-10,163,0
-2.828752600133124e-12,1.579511717332348e-09,-1.552910111943615e-09,9.800723177713963e-11,3.132421829275963e-09,1.9225878102021016e-16,9.804559679562621e-11,136,0
-2.1953205949677873e-12,1.5207774255220802e-09,-1.556639036354921e-09,8.891267260444532e-11,3.0774164618770013e-09,1.581977501801814e-16,8.893754836405751e-11,133,0
-1.0681403305205201e-12,1.255014738464773e-09,-1.165872765739964e-09,5.100152636601512e-11,2.4208875042047372e-09,5.204333115289993e-17,5.101143555757862e-11,62,0
-1.1194465790163966e-12,1.114611001021466e-09,-1.209030746437307e-09,4.1535302280505846e-11,2.3236417474587727e-09,3.452696474219294e-17,4.154934701183217e-11,48,0
-5.984017295180041e-13,1.121937973831894e-09,-1.208124511836714e-09,2.965442825661582e-11,2.330062485668608e-09,1.7593984612020285e-17,2.9659724047957935e-11,22,0
1.4235963829665377e-13,1.458317764258669e-09,-1.421354451387949e-09,6.819038659604411e-11,2.879672215646618e-09,8.089516434566506e-17,6.818857545347407e-11,60,0
9.020455575005485e-12,4.8126910381276194e-08,-5.2816395962234416e-08,8.24937653520358e-09,1.0094330634351062e-07,1.3609778395504593e-12,8.249175230138039e-09,6643,1
-3.5713398375907628e-12,1.0157433633593182e-08,-8.506064506260378e-09,1.4532088921467012e-09,1.866349813985356e-08,4.223446495757722e-14,1.4531769499544304e-09,5069,0
-4.541132627190392e-13,1.535904905159236e-09,-1.502674561756683e-09,1.1792464275755007e-10,3.038579466915919e-09,2.7811464554576572e-16,1.179225689903688e-10,218,0
-1.1282238954397198e-12,1.209895008652518e-09,-1.2996810985023502e-09,4.721494383701236e-11,2.5095761071548682e-09,4.4608246962897896e-17,4.7227241589414207e-11,34,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.497695971564804e-12,1.956110515446874e-09,-2.019896736207641e-09,1.8506102675273075e-10,3.976007251654515e-09,6.850421945747097e-16,1.8507325503360955e-10,20,0
-2.0132665509865886e-12,1.609463110194506e-09,-1.574234877572998e-09,1.1592303109701321e-10,3.183697987767504e-09,2.6883060946923487e-16,1.1593761457551963e-10,14,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-4.435092745303966e-12,1.96450613803891e-08,-2.022016366031452e-08,3.5056622168222637e-09,3.986522504070362e-08,2.45781455302522e-13,3.505577379708812e-09,7251,1
5.255330539402004e-13,4.353474872150482e-09,-4.296862234854955e-09,6.350982333429397e-10,8.650337107005437e-09,8.06659749384118e-15,6.35082573128927e-10,2698,0
-6.829508342184001e-13,1.895628230991467e-09,-1.4294576885767741e-09,9.432146468706213e-11,3.3250859195682413e-09,1.77931205912257e-16,9.432157916199692e-11,154,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
-2.0779797809620427e-12,5.984524200200718e-09,-6.075401878887027e-09,5.488424790282503e-10,1.2059926079087744e-08,6.024346467650169e-15,5.48832691612397e-10,882,0
1.5860993324301744e-12,5.900402004881408e-09,-5.302796542462254e-09,8.685168684986407e-10,1.1203198547343662e-08,1.508572700999723e-14,8.684966036202222e-10,2948,0
-1.5280522531020243e-13,1.079171678741262e-09,-1.079447584359763e-09,2.2182199887731562e-11,2.158619263101025e-09,9.840974775930466e-18,2.2182171642932604e-11,8,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2.777187993263303e-12,1.4936795563232331e-09,-1.743046256396829e-09,1.2570756293355022e-10,3.2367258127200623e-09,3.1618628064552956e-16,1.2573509467239637e-10,16,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
